"filename", "language", "PHP", "JSON", "Markdown", "CSS", "JavaScript", "XML", "HTML", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\CLAU\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\xampp\htdocs\CLAU\SITE\.VSCodeCounter\2024-03-05_08-52-25\details.md", "Markdown", 0, 0, 139, 0, 0, 0, 0, 0, 0, 6, 145
"c:\xampp\htdocs\CLAU\SITE\.VSCodeCounter\2024-03-05_08-52-25\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\xampp\htdocs\CLAU\SITE\.VSCodeCounter\2024-03-05_08-52-25\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\xampp\htdocs\CLAU\SITE\.VSCodeCounter\2024-03-05_08-52-25\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\CLAU\SITE\.VSCodeCounter\2024-03-05_08-52-25\results.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 36
"c:\xampp\htdocs\CLAU\SITE\CLAU.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 269, 72, 59, 400
"c:\xampp\htdocs\CLAU\SITE\ICON\C.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\xampp\htdocs\CLAU\SITE\ICON\Facebook.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\Instagram.svg", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\xampp\htdocs\CLAU\SITE\ICON\Linkedin.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\CLAU\SITE\ICON\aluno.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\cadastro_aluno.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\cadastro_curso.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\cadastro_funcionario.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\cadastro_professor.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\cadastro_turma.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\calendario.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\chamada.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\coordenacao.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\cursos.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\diretor.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\endereco.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\CLAU\SITE\ICON\eye-off.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\xampp\htdocs\CLAU\SITE\ICON\eye.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\fale.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\funcionario.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\grade.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\home.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\insta.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\CLAU\SITE\ICON\insta2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\CLAU\SITE\ICON\nota.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\perfil.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\phone.svg", "XML", 0, 0, 0, 0, 0, 21, 0, 0, 1, 0, 22
"c:\xampp\htdocs\CLAU\SITE\ICON\planejamento.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\professores.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\prova.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\xampp\htdocs\CLAU\SITE\ICON\relatorio.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\xampp\htdocs\CLAU\SITE\ICON\relatorios.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\turma.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\JS\app.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 6, 34
"c:\xampp\htdocs\CLAU\SITE\JS\botao.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 4, 4, 32
"c:\xampp\htdocs\CLAU\SITE\JS\dropdown.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 2, 1, 18
"c:\xampp\htdocs\CLAU\SITE\JS\end.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 9, 40
"c:\xampp\htdocs\CLAU\SITE\JS\redefinir.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 1, 2, 15
"c:\xampp\htdocs\CLAU\SITE\JS\script.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 7, 26
"c:\xampp\htdocs\CLAU\SITE\JS\utils.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\PAGES\a_aluno.php", "PHP", 315, 0, 0, 0, 0, 0, 0, 0, 3, 36, 354
"c:\xampp\htdocs\CLAU\SITE\PAGES\a_chamada.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\a_fale.php", "PHP", 130, 0, 0, 0, 0, 0, 0, 0, 3, 26, 159
"c:\xampp\htdocs\CLAU\SITE\PAGES\a_grade.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\a_home.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 0, 1, 9, 93
"c:\xampp\htdocs\CLAU\SITE\PAGES\a_notas.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\a_planejamento.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\a_prova.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\a_turma.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\c_grade.php", "PHP", 199, 0, 0, 0, 0, 0, 0, 0, 13, 31, 243
"c:\xampp\htdocs\CLAU\SITE\PAGES\c_home.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 0, 1, 9, 93
"c:\xampp\htdocs\CLAU\SITE\PAGES\c_planejamento.php", "PHP", 180, 0, 0, 0, 0, 0, 0, 0, 9, 38, 227
"c:\xampp\htdocs\CLAU\SITE\PAGES\c_turma.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 0, 9, 18, 135
"c:\xampp\htdocs\CLAU\SITE\PAGES\c_turma_detalhes.php", "PHP", 145, 0, 0, 0, 0, 0, 0, 0, 16, 25, 186
"c:\xampp\htdocs\CLAU\SITE\PAGES\fale.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\login2.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 0, 3, 14, 90
"c:\xampp\htdocs\CLAU\SITE\PAGES\m_funcionario.php", "PHP", 366, 0, 0, 0, 0, 0, 0, 0, 29, 77, 472
"c:\xampp\htdocs\CLAU\SITE\PAGES\m_funcionario_alt.php", "PHP", 267, 0, 0, 0, 0, 0, 0, 0, 3, 27, 297
"c:\xampp\htdocs\CLAU\SITE\PAGES\m_funcionario_cad.php", "PHP", 251, 0, 0, 0, 0, 0, 0, 0, 2, 25, 278
"c:\xampp\htdocs\CLAU\SITE\PAGES\m_home.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 1, 9, 78
"c:\xampp\htdocs\CLAU\SITE\PAGES\m_nivers.php", "PHP", 99, 0, 0, 0, 0, 0, 0, 0, 1, 17, 117
"c:\xampp\htdocs\CLAU\SITE\PAGES\notificacoes.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_aluno.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 11, 62
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_chamada.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_grade.php", "PHP", 140, 0, 0, 0, 0, 0, 0, 0, 7, 19, 166
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_home.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 0, 1, 9, 93
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_notas.php", "PHP", 153, 0, 0, 0, 0, 0, 0, 0, 6, 22, 181
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_planejamento.php", "PHP", 307, 0, 0, 0, 0, 0, 0, 0, 42, 71, 420
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_prova.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 10, 61
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_turma.php", "PHP", 107, 0, 0, 0, 0, 0, 0, 0, 3, 17, 127
"c:\xampp\htdocs\CLAU\SITE\PAGES\p_turma_detalhes.php", "PHP", 171, 0, 0, 0, 0, 0, 0, 0, 20, 34, 225
"c:\xampp\htdocs\CLAU\SITE\PAGES\perfil.php", "PHP", 155, 0, 0, 0, 0, 0, 0, 0, 10, 35, 200
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 0, 9, 68
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos_cad.php", "PHP", 299, 0, 0, 0, 0, 0, 0, 0, 1, 29, 329
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos_consulta.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos_info.php", "PHP", 329, 0, 0, 0, 0, 0, 0, 0, 5, 25, 359
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos_relatorio.php", "PHP", 384, 0, 0, 0, 0, 0, 0, 0, 28, 79, 491
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_alunos_turma_cad.php", "PHP", 482, 0, 0, 0, 0, 0, 0, 0, 23, 59, 564
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_curso.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 0, 9, 68
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_curso_cad.php", "PHP", 235, 0, 0, 0, 0, 0, 0, 0, 9, 52, 296
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_curso_consulta.php", "PHP", 148, 0, 0, 0, 0, 0, 0, 0, 12, 34, 194
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_curso_detalhes.php", "PHP", 169, 0, 0, 0, 0, 0, 0, 0, 2, 39, 210
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_curso_info.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 10, 63
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_fale.php", "PHP", 130, 0, 0, 0, 0, 0, 0, 0, 3, 26, 159
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_home.php", "PHP", 71, 0, 0, 0, 0, 0, 0, 0, 1, 9, 81
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_professores.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 0, 9, 68
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_professores_cad.php", "PHP", 275, 0, 0, 0, 0, 0, 0, 0, 1, 30, 306
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_professores_editar.php", "PHP", 284, 0, 0, 0, 0, 0, 0, 0, 3, 29, 316
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_professores_relatorio.php", "PHP", 433, 0, 0, 0, 0, 0, 0, 0, 33, 88, 554
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_turma.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 0, 9, 68
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_turma_cad.php", "PHP", 221, 0, 0, 0, 0, 0, 0, 0, 16, 41, 278
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_turma_consulta.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 0, 9, 18, 135
"c:\xampp\htdocs\CLAU\SITE\PAGES\s_turma_detalhes.php", "PHP", 145, 0, 0, 0, 0, 0, 0, 0, 16, 25, 186
"c:\xampp\htdocs\CLAU\SITE\PHP\alt_func.php", "PHP", 92, 0, 0, 0, 0, 0, 0, 0, 12, 20, 124
"c:\xampp\htdocs\CLAU\SITE\PHP\alt_professor.php", "PHP", 103, 0, 0, 0, 0, 0, 0, 0, 13, 26, 142
"c:\xampp\htdocs\CLAU\SITE\PHP\cad_aluno.php", "PHP", 170, 0, 0, 0, 0, 0, 0, 0, 15, 29, 214
"c:\xampp\htdocs\CLAU\SITE\PHP\cad_aluno_turma.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 4, 6, 50
"c:\xampp\htdocs\CLAU\SITE\PHP\cad_func.php", "PHP", 138, 0, 0, 0, 0, 0, 0, 0, 13, 19, 170
"c:\xampp\htdocs\CLAU\SITE\PHP\cad_professor.php", "PHP", 136, 0, 0, 0, 0, 0, 0, 0, 5, 26, 167
"c:\xampp\htdocs\CLAU\SITE\PHP\cad_turma.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 0, 2, 10, 85
"c:\xampp\htdocs\CLAU\SITE\PHP\data.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 2, 5, 18
"c:\xampp\htdocs\CLAU\SITE\PHP\det_func.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 3, 12, 44
"c:\xampp\htdocs\CLAU\SITE\PHP\det_turma.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 3, 11, 41
"c:\xampp\htdocs\CLAU\SITE\PHP\dropdown.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 3, 2, 28
"c:\xampp\htdocs\CLAU\SITE\PHP\redefinir.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 9, 14, 72
"c:\xampp\htdocs\CLAU\SITE\PHP\redes.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\xampp\htdocs\CLAU\SITE\PHP\salvar_notas.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 4, 8, 52
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\image\C-BRANCO.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\image\CLAU-BRANCO.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu.css", "CSS", 0, 0, 0, 250, 0, 0, 0, 0, 0, 11, 261
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 3, 5, 35
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu.php", "PHP", 422, 0, 0, 0, 0, 0, 0, 0, 7, 54, 483
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu_aluno.php", "PHP", 100, 0, 0, 0, 0, 0, 0, 0, 0, 12, 112
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu_coordenacao.php", "PHP", 100, 0, 0, 0, 0, 0, 0, 0, 0, 12, 112
"c:\xampp\htdocs\CLAU\SITE\PHP\sidebar\menu_secretaria.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
"c:\xampp\htdocs\CLAU\SITE\PHP\trocar_senha.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 14, 13, 73
"c:\xampp\htdocs\CLAU\SITE\PHP\turma_professor.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 2, 9, 37
"c:\xampp\htdocs\CLAU\SITE\STYLE\alterar.css", "CSS", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\CLAU\SITE\STYLE\botao.css", "CSS", 0, 0, 0, 107, 0, 0, 0, 0, 0, 5, 112
